category,category_url,subcats,files
SVG flags of Colombia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Colombia,8,11
SVG flags of Comoros,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Comoros,1,12
SVG flags of the Confederate States,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Confederate_States,5,16
SVG flags of the Republic of the Congo,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Republic_of_the_Congo,2,4
SVG flags of the Democratic Republic of the Congo,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Democratic_Republic_of_the_Congo,2,9
SVG flags of Costa Rica,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Costa_Rica,3,23
SVG flags of Croatia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Croatia,10,24
SVG flags of Cuba,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Cuba,5,16
SVG flags of Cyprus,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Cyprus,2,9
SVG flags of the Czech Republic,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Czech_Republic,7,23
SVG flags of the Kingdom of Denmark,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Kingdom_of_Denmark,3,0
SVG flags of Djibouti,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Djibouti,1,4
SVG flags of Dominica,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Dominica,1,6
SVG flags of the Dominican Republic,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Dominican_Republic,5,12
SVG flags of Ecuador,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Ecuador,4,11
SVG flags of Egypt,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Egypt,6,23
SVG flags of El Salvador,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_El_Salvador,2,12
SVG flags of Equatorial Guinea,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Equatorial_Guinea,1,8
SVG flags of Eritrea,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Eritrea,1,4
SVG flags of Estonia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Estonia,7,19
SVG flags of Eswatini,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Eswatini,1,4
SVG flags of Ethiopia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Ethiopia,2,15
SVG flags of Fiji,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Fiji,2,9
SVG flags of Finland,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Finland,8,33
SVG flags of France,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_France,10,104
SVG flags of Gabon,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Gabon,2,9
SVG flags of Gambia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Gambia,1,7
SVG flags of Georgia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Georgia,5,77
SVG flags of Germany,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Germany,14,62
SVG flags of Ghana,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Ghana,3,9
SVG flags of Greece,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Greece,8,78
SVG flags of Grenada,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Grenada,2,8
SVG flags of Guatemala,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Guatemala,1,14
SVG flags of Guinea,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Guinea,1,5
SVG flags of Guinea-Bissau,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Guinea-Bissau,0,9
SVG flags of Guyana,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Guyana,5,7
SVG flags of Haiti,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Haiti,1,9
SVG flags of Honduras,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Honduras,1,13
SVG flags of Hungary,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Hungary,12,21
SVG flags of Iceland,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Iceland,2,14
SVG flags of India,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_India,7,17
SVG flags of Indonesia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Indonesia,3,22
SVG flags of Iran,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Iran,6,36
SVG flags of Iraq,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Iraq,4,23
SVG flags of Ireland,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Ireland,4,109
SVG flags of Israel,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Israel,3,51
SVG flags of Italy,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Italy,10,54
SVG flags of Ivory Coast,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Ivory_Coast,1,7
SVG flags of Jamaica,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Jamaica,3,17
SVG flags of Japan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Japan,8,81
SVG flags of Jordan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Jordan,3,13
SVG flags of Kazakhstan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Kazakhstan,4,20
SVG flags of Kenya,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Kenya,4,9
SVG flags of Kiribati,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Kiribati,1,3
SVG flags of Korea,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Korea,5,2
